location,timestamp,parameter,units,value
USDiplomaticPost:NewDelhi-8118,2025-02-17T19:30:00.000-05:00,pm25,µg/m³,88.0
USDiplomaticPost:NewDelhi-8118,2025-02-17T13:30:00.000-05:00,pm25,µg/m³,116.0
USDiplomaticPost:NewDelhi-8118,2025-02-17T20:30:00.000-05:00,pm25,µg/m³,97.0
USDiplomaticPost:NewDelhi-8118,2025-02-17T21:30:00.000-05:00,pm25,µg/m³,107.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T05:30:00.000-05:00,pm25,µg/m³,28.0
USDiplomaticPost:NewDelhi-8118,2025-02-17T22:30:00.000-05:00,pm25,µg/m³,136.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T06:30:00.000-05:00,pm25,µg/m³,23.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T07:30:00.000-05:00,pm25,µg/m³,32.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T14:30:00.000-05:00,pm25,µg/m³,102.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T08:30:00.000-05:00,pm25,µg/m³,37.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T15:30:00.000-05:00,pm25,µg/m³,100.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T17:30:00.000-05:00,pm25,µg/m³,100.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T01:30:00.000-05:00,pm25,µg/m³,67.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T18:30:00.000-05:00,pm25,µg/m³,115.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T02:30:00.000-05:00,pm25,µg/m³,57.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T19:30:00.000-05:00,pm25,µg/m³,112.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T03:30:00.000-05:00,pm25,µg/m³,56.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T02:30:00.000-05:00,pm25,µg/m³,68.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T10:30:00.000-05:00,pm25,µg/m³,103.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T03:30:00.000-05:00,pm25,µg/m³,118.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T11:30:00.000-05:00,pm25,µg/m³,97.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T12:30:00.000-05:00,pm25,µg/m³,85.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T19:30:00.000-05:00,pm25,µg/m³,100.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T13:30:00.000-05:00,pm25,µg/m³,97.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T20:30:00.000-05:00,pm25,µg/m³,135.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T21:30:00.000-05:00,pm25,µg/m³,137.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T05:30:00.000-05:00,pm25,µg/m³,40.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T22:30:00.000-05:00,pm25,µg/m³,133.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T06:30:00.000-05:00,pm25,µg/m³,39.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T23:30:00.000-05:00,pm25,µg/m³,132.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T07:30:00.000-05:00,pm25,µg/m³,44.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T10:30:00.000-05:00,pm25,µg/m³,72.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T17:30:00.000-05:00,pm25,µg/m³,114.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T11:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T18:30:00.000-05:00,pm25,µg/m³,116.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T12:30:00.000-05:00,pm25,µg/m³,82.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T19:30:00.000-05:00,pm25,µg/m³,129.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T20:30:00.000-05:00,pm25,µg/m³,119.0
USDiplomaticPost:NewDelhi-8118,2025-02-25T04:30:00.000-05:00,pm25,µg/m³,48.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T21:30:00.000-05:00,pm25,µg/m³,118.0
USDiplomaticPost:NewDelhi-8118,2025-02-25T05:30:00.000-05:00,pm25,µg/m³,52.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T22:30:00.000-05:00,pm25,µg/m³,104.0
USDiplomaticPost:NewDelhi-8118,2025-02-25T06:30:00.000-05:00,pm25,µg/m³,45.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T23:30:00.000-05:00,pm25,µg/m³,111.0
USDiplomaticPost:NewDelhi-8118,2025-02-25T07:30:00.000-05:00,pm25,µg/m³,47.0
USDiplomaticPost:NewDelhi-8118,2025-02-25T15:30:00.000-05:00,pm25,µg/m³,97.0
USDiplomaticPost:NewDelhi-8118,2025-02-25T23:30:00.000-05:00,pm25,µg/m³,222.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T03:30:00.000-05:00,pm25,µg/m³,89.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T11:30:00.000-05:00,pm25,µg/m³,120.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T04:30:00.000-05:00,pm25,µg/m³,72.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T12:30:00.000-05:00,pm25,µg/m³,126.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T05:30:00.000-05:00,pm25,µg/m³,58.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T13:30:00.000-05:00,pm25,µg/m³,116.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T14:30:00.000-05:00,pm25,µg/m³,119.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T22:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T15:30:00.000-05:00,pm25,µg/m³,113.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T23:30:00.000-05:00,pm25,µg/m³,51.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T16:30:00.000-05:00,pm25,µg/m³,123.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T00:30:00.000-05:00,pm25,µg/m³,36.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T17:30:00.000-05:00,pm25,µg/m³,105.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T01:30:00.000-05:00,pm25,µg/m³,26.0
USDiplomaticPost:NewDelhi-8118,2025-01-23T03:30:00.000-05:00,pm25,µg/m³,43.0
USDiplomaticPost:NewDelhi-8118,2025-01-23T11:30:00.000-05:00,pm25,µg/m³,99.0
USDiplomaticPost:NewDelhi-8118,2025-01-24T00:30:00.000-05:00,pm25,µg/m³,96.0
USDiplomaticPost:NewDelhi-8118,2025-01-24T08:30:00.000-05:00,pm25,µg/m³,67.0
USDiplomaticPost:NewDelhi-8118,2025-01-24T09:30:00.000-05:00,pm25,µg/m³,89.0
USDiplomaticPost:NewDelhi-8118,2025-01-24T16:30:00.000-05:00,pm25,µg/m³,90.0
USDiplomaticPost:NewDelhi-8118,2025-01-24T19:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-01-25T03:30:00.000-05:00,pm25,µg/m³,45.0
USDiplomaticPost:NewDelhi-8118,2025-01-24T20:30:00.000-05:00,pm25,µg/m³,69.0
USDiplomaticPost:NewDelhi-8118,2025-01-25T04:30:00.000-05:00,pm25,µg/m³,43.0
USDiplomaticPost:NewDelhi-8118,2025-01-25T05:30:00.000-05:00,pm25,µg/m³,41.0
USDiplomaticPost:NewDelhi-8118,2025-01-25T13:30:00.000-05:00,pm25,µg/m³,88.0
USDiplomaticPost:NewDelhi-8118,2025-01-25T14:30:00.000-05:00,pm25,µg/m³,82.0
USDiplomaticPost:NewDelhi-8118,2025-01-25T22:30:00.000-05:00,pm25,µg/m³,82.0
USDiplomaticPost:NewDelhi-8118,2025-01-25T15:30:00.000-05:00,pm25,µg/m³,88.0
USDiplomaticPost:NewDelhi-8118,2025-01-25T23:30:00.000-05:00,pm25,µg/m³,85.0
USDiplomaticPost:NewDelhi-8118,2025-01-26T00:30:00.000-05:00,pm25,µg/m³,87.0
USDiplomaticPost:NewDelhi-8118,2025-01-26T08:30:00.000-05:00,pm25,µg/m³,77.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T09:30:00.000-05:00,pm25,µg/m³,84.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T16:30:00.000-05:00,pm25,µg/m³,99.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T11:30:00.000-05:00,pm25,µg/m³,93.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T18:30:00.000-05:00,pm25,µg/m³,98.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T19:30:00.000-05:00,pm25,µg/m³,93.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T03:30:00.000-05:00,pm25,µg/m³,27.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T20:30:00.000-05:00,pm25,µg/m³,85.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T04:30:00.000-05:00,pm25,µg/m³,42.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T21:30:00.000-05:00,pm25,µg/m³,83.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T05:30:00.000-05:00,pm25,µg/m³,41.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T22:30:00.000-05:00,pm25,µg/m³,87.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T06:30:00.000-05:00,pm25,µg/m³,39.0
USDiplomaticPost:NewDelhi-8118,2025-02-06T23:30:00.000-05:00,pm25,µg/m³,79.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T07:30:00.000-05:00,pm25,µg/m³,31.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T08:30:00.000-05:00,pm25,µg/m³,44.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T15:30:00.000-05:00,pm25,µg/m³,91.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T09:30:00.000-05:00,pm25,µg/m³,71.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T16:30:00.000-05:00,pm25,µg/m³,69.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T10:30:00.000-05:00,pm25,µg/m³,75.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T17:30:00.000-05:00,pm25,µg/m³,78.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T18:30:00.000-05:00,pm25,µg/m³,77.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T02:30:00.000-05:00,pm25,µg/m³,56.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T19:30:00.000-05:00,pm25,µg/m³,83.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T03:30:00.000-05:00,pm25,µg/m³,53.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T20:30:00.000-05:00,pm25,µg/m³,89.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T04:30:00.000-05:00,pm25,µg/m³,34.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T21:30:00.000-05:00,pm25,µg/m³,78.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T05:30:00.000-05:00,pm25,µg/m³,37.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T22:30:00.000-05:00,pm25,µg/m³,83.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T06:30:00.000-05:00,pm25,µg/m³,38.0
USDiplomaticPost:NewDelhi-8118,2025-02-07T23:30:00.000-05:00,pm25,µg/m³,82.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T07:30:00.000-05:00,pm25,µg/m³,38.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T00:30:00.000-05:00,pm25,µg/m³,69.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T08:30:00.000-05:00,pm25,µg/m³,83.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T20:30:00.000-05:00,pm25,µg/m³,99.0
USDiplomaticPost:NewDelhi-8118,2025-02-09T04:30:00.000-05:00,pm25,µg/m³,66.0
USDiplomaticPost:NewDelhi-8118,2025-02-08T21:30:00.000-05:00,pm25,µg/m³,99.0
USDiplomaticPost:NewDelhi-8118,2025-02-09T05:30:00.000-05:00,pm25,µg/m³,42.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T01:30:00.000-05:00,pm25,µg/m³,48.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T09:30:00.000-05:00,pm25,µg/m³,59.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T02:30:00.000-05:00,pm25,µg/m³,32.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T10:30:00.000-05:00,pm25,µg/m³,69.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T03:30:00.000-05:00,pm25,µg/m³,27.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T11:30:00.000-05:00,pm25,µg/m³,76.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T04:30:00.000-05:00,pm25,µg/m³,25.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T12:30:00.000-05:00,pm25,µg/m³,70.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T05:30:00.000-05:00,pm25,µg/m³,29.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T13:30:00.000-05:00,pm25,µg/m³,70.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T14:30:00.000-05:00,pm25,µg/m³,67.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T22:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T15:30:00.000-05:00,pm25,µg/m³,66.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T23:30:00.000-05:00,pm25,µg/m³,69.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T16:30:00.000-05:00,pm25,µg/m³,69.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T00:30:00.000-05:00,pm25,µg/m³,56.0
USDiplomaticPost:NewDelhi-8118,2025-02-12T17:30:00.000-05:00,pm25,µg/m³,80.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T01:30:00.000-05:00,pm25,µg/m³,56.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T02:30:00.000-05:00,pm25,µg/m³,44.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T10:30:00.000-05:00,pm25,µg/m³,59.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T03:30:00.000-05:00,pm25,µg/m³,34.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T11:30:00.000-05:00,pm25,µg/m³,64.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T12:30:00.000-05:00,pm25,µg/m³,55.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T19:30:00.000-05:00,pm25,µg/m³,58.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T13:30:00.000-05:00,pm25,µg/m³,62.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T20:30:00.000-05:00,pm25,µg/m³,68.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T22:30:00.000-05:00,pm25,µg/m³,78.0
USDiplomaticPost:NewDelhi-8118,2025-02-14T06:30:00.000-05:00,pm25,µg/m³,35.0
USDiplomaticPost:NewDelhi-8118,2025-02-13T23:30:00.000-05:00,pm25,µg/m³,67.0
USDiplomaticPost:NewDelhi-8118,2025-02-14T07:30:00.000-05:00,pm25,µg/m³,46.0
USDiplomaticPost:NewDelhi-8118,2025-02-14T00:30:00.000-05:00,pm25,µg/m³,64.0
USDiplomaticPost:NewDelhi-8118,2025-02-14T08:30:00.000-05:00,pm25,µg/m³,48.0
USDiplomaticPost:NewDelhi-8118,2025-02-14T11:30:00.000-05:00,pm25,µg/m³,91.0
USDiplomaticPost:NewDelhi-8118,2025-02-14T18:30:00.000-05:00,pm25,µg/m³,91.0
USDiplomaticPost:NewDelhi-8118,2025-02-14T21:30:00.000-05:00,pm25,µg/m³,98.0
USDiplomaticPost:NewDelhi-8118,2025-02-15T05:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-02-14T23:30:00.000-05:00,pm25,µg/m³,89.0
USDiplomaticPost:NewDelhi-8118,2025-02-15T07:30:00.000-05:00,pm25,µg/m³,56.0
USDiplomaticPost:NewDelhi-8118,2025-02-17T01:30:00.000-05:00,pm25,µg/m³,61.0
USDiplomaticPost:NewDelhi-8118,2025-02-17T09:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T09:30:00.000-05:00,pm25,µg/m³,44.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T16:30:00.000-05:00,pm25,µg/m³,96.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T20:30:00.000-05:00,pm25,µg/m³,99.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T04:30:00.000-05:00,pm25,µg/m³,43.0
USDiplomaticPost:NewDelhi-8118,2025-02-18T21:30:00.000-05:00,pm25,µg/m³,98.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T05:30:00.000-05:00,pm25,µg/m³,31.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T07:30:00.000-05:00,pm25,µg/m³,40.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T14:30:00.000-05:00,pm25,µg/m³,42.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T08:30:00.000-05:00,pm25,µg/m³,60.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T15:30:00.000-05:00,pm25,µg/m³,50.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T09:30:00.000-05:00,pm25,µg/m³,64.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T16:30:00.000-05:00,pm25,µg/m³,38.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T10:30:00.000-05:00,pm25,µg/m³,73.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T17:30:00.000-05:00,pm25,µg/m³,39.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T18:30:00.000-05:00,pm25,µg/m³,37.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T02:30:00.000-05:00,pm25,µg/m³,45.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T19:30:00.000-05:00,pm25,µg/m³,40.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T03:30:00.000-05:00,pm25,µg/m³,32.0
USDiplomaticPost:NewDelhi-8118,2025-02-19T20:30:00.000-05:00,pm25,µg/m³,44.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T04:30:00.000-05:00,pm25,µg/m³,41.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T05:30:00.000-05:00,pm25,µg/m³,32.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T13:30:00.000-05:00,pm25,µg/m³,82.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T07:30:00.000-05:00,pm25,µg/m³,38.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T14:30:00.000-05:00,pm25,µg/m³,75.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T15:30:00.000-05:00,pm25,µg/m³,80.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T23:30:00.000-05:00,pm25,µg/m³,96.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T16:30:00.000-05:00,pm25,µg/m³,59.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T00:30:00.000-05:00,pm25,µg/m³,77.0
USDiplomaticPost:NewDelhi-8118,2025-02-20T17:30:00.000-05:00,pm25,µg/m³,54.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T01:30:00.000-05:00,pm25,µg/m³,68.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T04:30:00.000-05:00,pm25,µg/m³,92.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T12:30:00.000-05:00,pm25,µg/m³,88.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T13:30:00.000-05:00,pm25,µg/m³,76.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T20:30:00.000-05:00,pm25,µg/m³,68.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T14:30:00.000-05:00,pm25,µg/m³,73.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T22:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T15:30:00.000-05:00,pm25,µg/m³,78.0
USDiplomaticPost:NewDelhi-8118,2025-02-21T23:30:00.000-05:00,pm25,µg/m³,84.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T00:30:00.000-05:00,pm25,µg/m³,73.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T08:30:00.000-05:00,pm25,µg/m³,44.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T01:30:00.000-05:00,pm25,µg/m³,69.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T09:30:00.000-05:00,pm25,µg/m³,56.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T02:30:00.000-05:00,pm25,µg/m³,64.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T10:30:00.000-05:00,pm25,µg/m³,79.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T03:30:00.000-05:00,pm25,µg/m³,48.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T11:30:00.000-05:00,pm25,µg/m³,70.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T04:30:00.000-05:00,pm25,µg/m³,43.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T12:30:00.000-05:00,pm25,µg/m³,74.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T05:30:00.000-05:00,pm25,µg/m³,28.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T13:30:00.000-05:00,pm25,µg/m³,65.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T14:30:00.000-05:00,pm25,µg/m³,70.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T22:30:00.000-05:00,pm25,µg/m³,89.0
USDiplomaticPost:NewDelhi-8118,2025-02-22T23:30:00.000-05:00,pm25,µg/m³,87.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T07:30:00.000-05:00,pm25,µg/m³,37.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T00:30:00.000-05:00,pm25,µg/m³,62.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T08:30:00.000-05:00,pm25,µg/m³,38.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T01:30:00.000-05:00,pm25,µg/m³,63.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T09:30:00.000-05:00,pm25,µg/m³,51.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T11:30:00.000-05:00,pm25,µg/m³,81.0
USDiplomaticPost:NewDelhi-8118,2025-02-23T18:30:00.000-05:00,pm25,µg/m³,90.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T00:30:00.000-05:00,pm25,µg/m³,90.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T08:30:00.000-05:00,pm25,µg/m³,48.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T01:30:00.000-05:00,pm25,µg/m³,67.0
USDiplomaticPost:NewDelhi-8118,2025-02-24T09:30:00.000-05:00,pm25,µg/m³,62.0
USDiplomaticPost:NewDelhi-8118,2025-02-25T18:30:00.000-05:00,pm25,µg/m³,97.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T02:30:00.000-05:00,pm25,µg/m³,95.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T18:30:00.000-05:00,pm25,µg/m³,87.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T02:30:00.000-05:00,pm25,µg/m³,21.0
USDiplomaticPost:NewDelhi-8118,2025-02-26T19:30:00.000-05:00,pm25,µg/m³,65.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T03:30:00.000-05:00,pm25,µg/m³,37.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T04:30:00.000-05:00,pm25,µg/m³,30.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T12:30:00.000-05:00,pm25,µg/m³,55.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T05:30:00.000-05:00,pm25,µg/m³,27.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T13:30:00.000-05:00,pm25,µg/m³,53.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T14:30:00.000-05:00,pm25,µg/m³,52.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T22:30:00.000-05:00,pm25,µg/m³,77.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T15:30:00.000-05:00,pm25,µg/m³,39.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T23:30:00.000-05:00,pm25,µg/m³,67.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T16:30:00.000-05:00,pm25,µg/m³,47.0
USDiplomaticPost:NewDelhi-8118,2025-02-28T00:30:00.000-05:00,pm25,µg/m³,63.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T17:30:00.000-05:00,pm25,µg/m³,39.0
USDiplomaticPost:NewDelhi-8118,2025-02-28T01:30:00.000-05:00,pm25,µg/m³,58.0
USDiplomaticPost:NewDelhi-8118,2025-02-27T18:30:00.000-05:00,pm25,µg/m³,43.0
USDiplomaticPost:NewDelhi-8118,2025-02-28T02:30:00.000-05:00,pm25,µg/m³,57.0
USDiplomaticPost:NewDelhi-8118,2025-02-28T05:30:00.000-05:00,pm25,µg/m³,55.0
USDiplomaticPost:NewDelhi-8118,2025-02-28T13:30:00.000-05:00,pm25,µg/m³,51.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T12:30:00.000-05:00,pm25,µg/m³,303.0
USDiplomaticPost:NewDelhi-8118,2025-01-04T13:30:00.000-05:00,pm25,µg/m³,308.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T09:30:00.000-05:00,pm25,µg/m³,153.0
NewDelhi-8118,2025-01-12T16:30:00.000-05:00,pm25,µg/m³,138.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T10:30:00.000-05:00,pm25,µg/m³,156.0
NewDelhi-8118,2025-01-12T17:30:00.000-05:00,pm25,µg/m³,121.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T11:30:00.000-05:00,pm25,µg/m³,217.0
NewDelhi-8118,2025-01-12T18:30:00.000-05:00,pm25,µg/m³,108.0
NewDelhi-8118,2025-01-13T09:30:00.000-05:00,pm25,µg/m³,142.0
USDiplomaticPost:NewDelhi-8118,2025-01-13T16:30:00.000-05:00,pm25,µg/m³,122.0
NewDelhi-8118,2025-01-13T10:30:00.000-05:00,pm25,µg/m³,127.0
USDiplomaticPost:NewDelhi-8118,2025-01-13T17:30:00.000-05:00,pm25,µg/m³,121.0
NewDelhi-8118,2025-01-13T11:30:00.000-05:00,pm25,µg/m³,151.0
USDiplomaticPost:NewDelhi-8118,2025-01-13T18:30:00.000-05:00,pm25,µg/m³,122.0
USDiplomaticPost:NewDelhi-8118,2025-01-20T07:30:00.000-05:00,pm25,µg/m³,125.0
NewDelhi-8118,2025-01-20T14:30:00.000-05:00,pm25,µg/m³,167.0
NewDelhi-8118,2025-01-21T13:30:00.000-05:00,pm25,µg/m³,160.0
USDiplomaticPost:NewDelhi-8118,2025-01-21T20:30:00.000-05:00,pm25,µg/m³,136.0
USDiplomaticPost:NewDelhi-8118,2025-01-12T12:30:00.000-05:00,pm25,µg/m³,203.0
NewDelhi-8118,2025-01-12T19:30:00.000-05:00,pm25,µg/m³,98.0
USDiplomaticPost:NewDelhi-8118,2025-02-28T07:30:00.000-05:00,pm25,µg/m³,47.0
NewDelhi-8118,2025-02-28T14:30:00.000-05:00,pm25,µg/m³,46.0
