features,pm25,AQI_Category
"[95.0,18.4,59.7,12.0,-5.100000000000001,95.0,14.0]",107.0,Unhealthy
"[95.0,18.7,77.2,-4.0,-2.75,91.16666666666667,20.0]",91.0,Moderate
"[95.0,26.1,87.8,5.5,0.0,96.66666666666667,11.0]",100.5,Unhealthy
"[95.5,11.3,48.35,-3.5,-1.299999999999999,95.5,17.0]",92.0,Moderate
"[95.5,16.8,53.05,2.5,5.4,95.5,16.0]",98.0,Moderate
"[95.5,21.7,60.75,-2.5,10.799999999999999,95.5,0.0]",93.0,Moderate
"[95.5,23.5,54.099999999999994,5.5,4.300000000000001,95.5,7.0]",101.0,Unhealthy
"[96.0,19.3,54.8,3.0,10.200000000000001,96.0,22.0]",99.0,Moderate
"[96.5,8.7,52.55,-6.5,1.9999999999999991,96.5,20.0]",90.0,Moderate
"[96.5,26.450000000000003,45.7,18.5,-7.75,96.5,14.0]",115.0,Unhealthy
"[97.0,5.7,33.3,8.0,-12.150000000000002,92.66666666666667,15.0]",105.0,Unhealthy
"[97.0,17.6,74.4,-14.0,-3.299999999999997,94.66666666666667,7.0]",83.0,Moderate
"[97.0,22.7,63.45,-5.0,2.3000000000000007,97.0,4.0]",92.0,Moderate
"[97.0,25.6,73.35,9.0,-3.1999999999999993,97.0,3.0]",106.0,Unhealthy
"[97.0,31.1,86.1,6.5,2.3000000000000007,103.16666666666667,7.0]",103.5,Unhealthy
"[97.5,23.25,66.3,-6.5,-3.3500000000000014,97.5,20.0]",91.0,Moderate
"[98.0,7.4,61.9,-7.0,-12.85,97.33333333333333,1.0]",91.0,Moderate
"[98.0,10.9,68.3,-2.5,-3.8499999999999996,98.0,0.0]",95.5,Moderate
"[98.0,15.6,67.65,4.0,2.9000000000000004,98.0,20.0]",102.0,Unhealthy
"[98.0,22.2,55.2,1.0,5.399999999999999,97.5,17.0]",99.0,Moderate
"[98.5,7.25,54.050000000000004,12.5,1.0499999999999998,98.5,15.0]",111.0,Unhealthy
"[98.5,20.799999999999997,44.25,-8.5,-1.6000000000000014,98.5,6.0]",90.0,Moderate
"[99.0,8.2,44.1,-9.5,-8.3,95.83333333333333,7.0]",89.5,Moderate
"[99.0,8.4,81.9,0.0,-0.75,100.16666666666667,2.0]",99.0,Moderate
"[99.0,11.3,48.3,2.0,-6.25,97.66666666666667,22.0]",101.0,Unhealthy
"[99.0,12.6,53.5,-3.5,-0.6500000000000004,100.16666666666667,17.0]",95.5,Moderate
"[99.0,16.5,49.4,0.0,-1.1000000000000014,99.0,6.0]",99.0,Moderate
"[99.0,16.5,49.4,0.0,0.0,99.0,6.0]",99.0,Moderate
"[99.0,16.5,75.5,0.0,8.1,99.0,2.0]",99.0,Moderate
"[99.0,24.6,69.1,1.5,8.100000000000001,99.5,3.0]",100.5,Unhealthy
"[99.0,28.549999999999997,60.75,1.0,6.349999999999998,99.0,17.0]",100.0,Moderate
"[99.0,29.5,58.3,11.0,10.2,101.66666666666667,23.0]",110.0,Unhealthy
"[99.5,15.25,58.3,-11.5,-0.6500000000000004,99.5,7.0]",88.0,Moderate
"[100.0,12.350000000000001,48.05,-7.0,-0.9499999999999993,100.0,15.0]",93.0,Moderate
"[100.0,21.5,50.9,-22.5,-4.399999999999999,77.16666666666667,8.0]",77.5,Moderate
"[100.0,21.5,64.6,2.0,-1.1999999999999993,100.0,0.0]",102.0,Unhealthy
"[100.0,34.7,64.8,12.0,12.75,101.83333333333333,13.0]",112.0,Unhealthy
"[100.0,34.9,66.3,7.0,6.350000000000001,102.0,18.0]",107.0,Unhealthy
"[100.5,14.75,57.099999999999994,-2.5,-3.8500000000000014,100.5,23.0]",98.0,Moderate
"[100.5,16.55,72.1,5.5,-9.55,100.5,11.0]",106.0,Unhealthy
"[100.5,22.5,59.849999999999994,1.5,-2.1000000000000014,100.5,3.0]",102.0,Unhealthy
"[100.5,30.900000000000002,66.85,-16.5,1.3000000000000007,100.5,6.0]",84.0,Moderate
"[101.0,14.950000000000001,47.099999999999994,2.0,3.6500000000000004,101.0,22.0]",103.0,Unhealthy
"[101.0,16.7,51.6,1.0,-2.6999999999999993,103.83333333333333,19.0]",102.0,Unhealthy
"[101.0,18.2,34.7,-8.0,-8.0,101.0,16.0]",93.0,Moderate
"[101.0,28.9,64.9,2.0,5.850000000000001,105.0,9.0]",103.0,Unhealthy
"[101.0,29.4,64.5,2.0,11.3,104.83333333333333,0.0]",103.0,Unhealthy
"[101.5,10.7,47.75,15.5,0.6999999999999993,101.5,13.0]",117.0,Unhealthy
"[102.0,6.1,67.4,-8.5,-9.799999999999999,105.83333333333333,9.0]",93.5,Moderate
"[102.0,11.7,57.05,1.0,-5.0,102.0,19.0]",103.0,Unhealthy
"[102.0,18.5,76.1,-4.5,2.9000000000000004,99.16666666666667,21.0]",97.5,Moderate
"[102.0,20.4,50.6,-5.0,-2.1000000000000014,99.83333333333333,4.0]",97.0,Moderate
"[102.5,9.15,60.95,-3.5,-0.75,102.5,1.0]",99.0,Moderate
"[103.0,6.7,62.5,-6.5,-4.999999999999999,100.5,20.0]",96.5,Moderate
"[103.0,7.8,83.0,-13.5,-10.099999999999998,102.66666666666667,6.0]",89.5,Moderate
"[103.0,18.6,45.9,-2.5,3.6500000000000004,101.5,23.0]",100.5,Unhealthy
"[103.0,20.25,50.05,-5.0,-12.850000000000001,103.0,0.0]",98.0,Moderate
"[103.0,24.25,57.050000000000004,2.0,-4.649999999999999,103.0,9.0]",105.0,Unhealthy
"[103.0,24.35,44.4,1.0,4.050000000000001,103.0,1.0]",104.0,Unhealthy
"[103.0,25.0,52.3,3.0,3.5500000000000007,96.5,14.0]",106.0,Unhealthy
"[104.0,8.4,48.4,11.0,-6.950000000000001,103.66666666666667,14.0]",115.0,Unhealthy
"[104.0,17.5,83.4,5.0,2.1999999999999993,106.66666666666667,9.0]",109.0,Unhealthy
"[104.0,20.9,52.900000000000006,-7.0,-3.3000000000000007,104.0,6.0]",97.0,Moderate
"[104.0,26.6,72.7,-6.5,4.600000000000001,98.16666666666667,20.0]",97.5,Moderate
"[104.0,28.4,44.5,10.0,4.049999999999997,107.0,2.0]",114.0,Unhealthy
"[104.0,35.0,54.4,3.5,13.100000000000001,100.16666666666667,15.0]",107.5,Unhealthy
"[105.0,9.8,47.4,8.0,4.1000000000000005,105.0,15.0]",113.0,Unhealthy
"[105.0,19.6,49.2,10.0,-4.649999999999999,107.66666666666667,10.0]",115.0,Unhealthy
"[105.0,20.450000000000003,67.3,13.0,8.650000000000002,105.0,9.0]",118.0,Unhealthy
"[105.0,34.6,86.6,4.5,2.6000000000000014,105.83333333333333,1.0]",109.5,Unhealthy
"[106.0,7.0,56.4,7.0,-9.55,106.5,12.0]",113.0,Unhealthy
"[106.0,7.5,41.400000000000006,6.0,-0.09999999999999964,106.0,15.0]",112.0,Unhealthy
"[106.0,9.9,40.0,-3.5,-7.249999999999998,106.66666666666667,1.0]",102.5,Unhealthy
"[106.0,13.25,57.5,-7.0,-0.6500000000000004,106.0,16.0]",99.0,Moderate
"[106.0,17.9,53.4,6.5,-3.450000000000003,109.0,17.0]",112.5,Unhealthy
"[106.0,22.4,65.2,2.5,-3.200000000000003,103.83333333333333,4.0]",108.5,Unhealthy
"[106.0,32.0,74.2,20.0,8.8,107.83333333333333,15.0]",126.0,Unhealthy
"[106.5,26.75,54.3,-10.5,-3.1499999999999986,106.5,5.0]",96.0,Moderate
"[107.0,10.3,78.1,7.5,-3.0999999999999996,114.16666666666667,21.0]",114.5,Unhealthy
"[107.0,15.3,78.45,-3.0,2.200000000000001,107.0,8.0]",104.0,Unhealthy
"[107.0,22.4,40.6,-8.5,-5.650000000000002,106.16666666666667,6.0]",98.5,Moderate
"[107.0,24.1,57.5,7.0,-10.799999999999997,107.0,18.0]",114.0,Unhealthy
"[107.5,25.65,72.3,18.5,-7.450000000000003,107.5,15.0]",126.0,Unhealthy
"[107.5,29.9,51.599999999999994,3.5,-5.100000000000001,107.5,15.0]",111.0,Unhealthy
"[108.0,8.5,82.3,-1.5,-15.399999999999999,107.5,10.0]",106.5,Unhealthy
"[108.0,23.9,82.3,0.0,-9.200000000000003,108.0,9.0]",108.0,Unhealthy
"[108.0,26.9,72.6,5.5,8.350000000000001,110.5,11.0]",113.5,Unhealthy
"[108.0,33.1,38.2,-5.0,3.5,108.5,0.0]",103.0,Unhealthy
"[108.0,33.1,48.6,0.0,9.200000000000003,108.0,9.0]",108.0,Unhealthy
"[108.5,17.65,49.0,2.5,-4.75,108.5,4.0]",111.0,Unhealthy
"[108.5,19.4,51.55,-7.5,-2.700000000000003,108.5,18.0]",101.0,Unhealthy
"[109.0,10.2,87.7,17.5,-7.400000000000002,113.83333333333333,15.0]",126.5,Unhealthy
"[109.0,17.55,58.85,5.0,0.05000000000000071,109.0,9.0]",114.0,Unhealthy
"[109.0,20.6,87.7,4.5,-6.899999999999999,112.66666666666667,19.0]",113.5,Unhealthy
"[109.0,26.2,31.7,-8.0,-1.1999999999999993,108.0,16.0]",101.0,Unhealthy
"[109.0,28.8,77.5,-12.0,2.3000000000000007,109.0,6.0]",97.0,Moderate
"[109.5,21.65,80.9,-11.5,1.0499999999999972,109.5,23.0]",98.0,Moderate
"[109.5,25.4,72.5,4.5,-9.200000000000003,109.5,1.0]",114.0,Unhealthy
"[110.0,13.1,73.5,-3.0,-9.000000000000002,106.83333333333333,8.0]",107.0,Unhealthy
"[110.0,18.549999999999997,69.1,-2.0,8.349999999999998,110.0,10.0]",108.0,Unhealthy
"[110.0,21.65,63.55,-18.0,-9.850000000000001,110.0,8.0]",92.0,Moderate
"[110.5,18.099999999999998,71.1,-9.5,11.299999999999997,110.5,23.0]",101.0,Unhealthy
"[111.0,8.3,76.9,9.0,1.0500000000000007,109.83333333333333,16.0]",120.0,Unhealthy
"[111.0,15.9,42.5,-11.5,-3.5999999999999996,109.0,7.0]",99.5,Moderate
"[111.0,23.049999999999997,72.6,-10.0,5.849999999999998,111.0,8.0]",101.0,Unhealthy
"[111.0,24.2,31.4,-7.0,-1.0,110.16666666666667,6.0]",104.0,Unhealthy
"[111.0,24.8,48.8,-2.5,-5.099999999999998,109.0,16.0]",108.5,Unhealthy
"[111.0,28.4,89.7,0.5,4.5,113.33333333333333,10.0]",111.5,Unhealthy
"[111.0,34.1,87.1,-19.5,4.950000000000003,106.16666666666667,7.0]",91.5,Moderate
"[111.5,17.15,46.45,-5.5,-7.25,111.5,0.0]",106.0,Unhealthy
"[111.5,20.95,78.0,0.5,-7.449999999999999,111.5,10.0]",112.0,Unhealthy
"[112.0,10.2,65.6,-2.0,-12.400000000000002,112.0,10.0]",110.0,Unhealthy
"[112.0,13.5,66.3,1.5,-7.449999999999999,112.33333333333333,11.0]",113.5,Unhealthy
"[112.0,31.150000000000002,64.35,12.0,-3.5500000000000007,112.0,13.0]",124.0,Unhealthy
"[112.5,17.6,56.7,2.5,5.100000000000001,112.5,3.0]",115.0,Unhealthy
"[112.5,23.049999999999997,67.25,6.5,5.149999999999999,112.5,17.0]",119.0,Unhealthy
"[113.0,9.1,49.45,7.0,2.0999999999999996,113.0,12.0]",120.0,Unhealthy
"[113.0,17.2,73.6,2.0,-5.199999999999999,113.66666666666667,4.0]",115.0,Unhealthy
"[113.0,19.2,45.0,8.0,4.5,113.0,11.0]",121.0,Unhealthy
"[113.0,22.4,56.5,0.0,-5.200000000000003,113.0,3.0]",113.0,Unhealthy
"[113.0,25.6,40.6,2.0,4.0,113.83333333333333,11.0]",115.0,Unhealthy
"[113.0,27.6,39.4,0.0,7.300000000000001,114.16666666666667,3.0]",113.0,Unhealthy
"[113.0,28.05,47.900000000000006,-6.0,-5.650000000000002,113.0,5.0]",107.0,Unhealthy
"[113.5,21.6,37.45,-0.5,4.0,113.5,10.0]",113.0,Unhealthy
"[113.5,27.299999999999997,62.9,5.5,0.3999999999999986,113.5,11.0]",119.0,Unhealthy
"[114.0,13.3,48.7,4.0,-10.8,113.0,19.0]",118.0,Unhealthy
"[114.0,16.2,58.4,2.5,-9.2,113.33333333333333,2.0]",116.5,Unhealthy
"[114.0,17.599999999999998,57.2,10.0,-10.8,114.0,2.0]",124.0,Unhealthy
"[114.0,23.5,80.0,20.0,11.4,114.0,11.0]",134.0,Unhealthy
"[114.5,9.45,78.1,7.5,-0.8500000000000014,114.5,21.0]",122.0,Unhealthy
"[114.5,29.6,41.0,-6.5,3.5,114.5,23.0]",108.0,Unhealthy
"[115.0,13.55,67.25,10.0,-6.050000000000001,115.0,10.0]",125.0,Unhealthy
"[115.0,14.85,62.0,2.0,-2.3499999999999996,115.0,4.0]",117.0,Unhealthy
"[115.0,15.2,40.4,11.0,6.799999999999999,115.0,14.0]",126.0,Unhealthy
"[115.0,18.2,78.6,1.0,-5.75,115.66666666666667,4.0]",116.0,Unhealthy
"[115.0,18.7,35.7,18.5,-7.7500000000000036,115.0,15.0]",133.5,Unhealthy
"[115.0,22.7,70.2,16.0,5.099999999999998,119.5,4.0]",131.0,Unhealthy
"[115.0,23.25,60.55,2.0,-2.3500000000000014,115.0,11.0]",117.0,Unhealthy
"[115.5,17.1,68.35,0.5,8.3,115.5,12.0]",116.0,Unhealthy
"[115.5,17.9,72.9,-12.5,-10.100000000000001,115.5,5.0]",103.0,Unhealthy
"[115.5,25.2,58.0,-4.5,-1.0,115.5,5.0]",111.0,Unhealthy
"[115.5,27.5,74.15,-6.5,-6.899999999999999,115.5,18.0]",109.0,Unhealthy
"[116.0,19.7,50.85,5.0,6.799999999999999,116.0,5.0]",121.0,Unhealthy
"[116.0,22.1,51.5,-7.5,1.25,116.16666666666667,18.0]",108.5,Unhealthy
"[116.0,23.9,60.1,-25.5,7.199999999999999,117.33333333333333,7.0]",90.5,Moderate
"[116.0,23.95,71.3,-1.0,-5.75,116.0,3.0]",115.0,Unhealthy
"[116.0,24.049999999999997,77.8,1.0,5.849999999999998,116.0,4.0]",117.0,Unhealthy
"[116.0,25.4,87.8,1.0,8.299999999999997,116.16666666666667,13.0]",117.0,Unhealthy
"[116.0,35.0,77.2,-2.0,9.899999999999999,119.83333333333333,9.0]",114.0,Unhealthy
"[116.5,16.4,42.599999999999994,-1.5,-8.400000000000002,116.5,11.0]",115.0,Unhealthy
"[116.5,19.5,43.15,-5.5,-3.6000000000000014,116.5,6.0]",111.0,Unhealthy
"[116.5,19.95,71.65,2.5,3.75,116.5,2.0]",119.0,Unhealthy
"[116.5,20.3,55.8,-3.5,7.300000000000001,116.5,2.0]",113.0,Unhealthy
"[117.0,10.2,87.8,1.0,-15.2,117.0,13.0]",118.0,Unhealthy
"[117.0,11.4,56.5,6.0,0.7000000000000011,113.83333333333333,14.0]",123.0,Unhealthy
"[117.0,12.5,50.4,7.5,-2.3499999999999996,118.83333333333333,5.0]",124.5,Unhealthy
"[117.0,19.45,61.05,-104.0,-3.4499999999999993,117.0,5.0]",13.0,Good
"[117.0,20.9,80.5,0.0,-2.3500000000000014,116.33333333333333,12.0]",117.0,Unhealthy
"[117.0,22.9,57.6,0.0,2.0,117.0,12.0]",117.0,Unhealthy
"[117.0,24.9,34.7,3.0,2.0,118.0,13.0]",120.0,Unhealthy
"[117.0,29.6,53.2,-16.5,9.100000000000001,116.16666666666667,6.0]",100.5,Unhealthy
"[117.0,29.7,64.0,-1.0,7.25,117.33333333333333,3.0]",116.0,Unhealthy
"[117.0,29.9,77.0,-10.5,5.850000000000001,113.16666666666667,5.0]",106.5,Unhealthy
"[117.5,10.4,37.0,-7.5,2.0999999999999996,117.5,2.0]",110.0,Unhealthy
"[118.0,8.8,60.4,21.0,-1.3999999999999986,124.66666666666667,14.0]",139.0,Unhealthy
"[118.0,10.8,84.7,4.0,-5.900000000000002,119.33333333333333,3.0]",122.0,Unhealthy
"[118.0,13.9,86.7,0.5,-1.700000000000001,118.83333333333333,4.0]",118.5,Unhealthy
"[118.0,15.950000000000001,59.800000000000004,4.0,2.6500000000000004,118.0,19.0]",122.0,Unhealthy
"[118.0,16.700000000000003,61.1,0.0,-5.899999999999999,118.0,2.0]",118.0,Unhealthy
"[118.0,22.6,37.5,0.0,-4.699999999999999,119.66666666666667,2.0]",118.0,Unhealthy
"[118.0,24.8,41.9,-1.5,-2.400000000000002,119.83333333333333,11.0]",116.5,Unhealthy
"[118.0,29.1,53.0,23.5,8.649999999999999,121.5,10.0]",141.5,Unhealthy
"[118.0,30.4,78.5,3.0,1.4499999999999993,120.0,21.0]",121.0,Unhealthy
"[118.0,32.0,30.6,7.0,5.699999999999999,118.83333333333333,20.0]",125.0,Unhealthy
"[118.5,23.8,70.95,0.5,9.9,118.5,4.0]",119.0,Unhealthy
"[119.0,21.3,86.3,8.5,-5.7499999999999964,123.16666666666667,23.0]",127.5,Unhealthy
"[119.0,22.45,74.65,-2.0,7.25,119.0,2.0]",117.0,Unhealthy
"[119.0,23.7,84.9,14.5,3.75,123.0,3.0]",133.5,Unhealthy
"[119.0,27.7,53.2,4.5,0.40000000000000213,118.66666666666667,12.0]",123.5,Unhealthy
"[119.0,28.6,71.7,-5.0,10.900000000000002,108.33333333333333,15.0]",114.0,Unhealthy
"[119.0,33.7,55.2,-6.0,9.900000000000002,116.83333333333333,5.0]",113.0,Unhealthy
"[120.0,6.8,77.7,-9.5,-4.95,119.5,23.0]",110.5,Unhealthy
"[120.0,7.2,81.9,1.5,-10.600000000000001,123.16666666666667,3.0]",121.5,Unhealthy
"[120.0,12.5,72.9,36.0,-10.7,132.83333333333334,4.0]",156.0,Unhealthy
"[120.0,13.0,72.2,-3.5,2.6500000000000004,119.16666666666667,2.0]",116.5,Unhealthy
"[120.0,15.600000000000001,83.55000000000001,-2.0,-1.6999999999999993,120.0,3.0]",118.0,Unhealthy
"[120.0,26.2,84.6,-4.5,-4.150000000000002,121.66666666666667,5.0]",115.5,Unhealthy
"[121.0,10.35,51.1,-1.0,2.6499999999999995,121.0,1.0]",120.0,Unhealthy
"[121.0,13.4,66.55,-14.0,-3.0999999999999996,121.0,20.0]",107.0,Unhealthy
"[121.0,15.2,85.3,-2.0,1.8999999999999986,120.66666666666667,2.0]",119.0,Unhealthy
"[121.0,16.9,49.7,1.0,-6.300000000000001,117.66666666666667,0.0]",122.0,Unhealthy
"[121.0,20.6,76.9,-11.5,3.0,117.66666666666667,23.0]",109.5,Unhealthy
"[121.0,22.5,73.1,3.0,-7.899999999999999,121.0,21.0]",124.0,Unhealthy
"[121.0,24.2,77.2,-5.0,6.800000000000001,123.16666666666667,6.0]",116.0,Unhealthy
"[121.0,26.1,43.8,-6.5,3.6000000000000014,121.66666666666667,23.0]",114.5,Unhealthy
"[121.0,26.5,68.9,-12.0,6.800000000000001,115.33333333333333,6.0]",109.0,Unhealthy
"[121.5,11.2,64.85,1.5,3.999999999999999,121.5,3.0]",123.0,Unhealthy
"[121.5,14.8,65.75,-0.5,6.200000000000001,121.5,22.0]",121.0,Unhealthy
"[121.5,27.15,68.55,0.5,6.149999999999999,121.5,23.0]",122.0,Unhealthy
"[122.0,7.7,30.0,-1.0,-3.7,122.16666666666667,1.0]",121.0,Unhealthy
"[122.0,8.6,78.1,-0.5,-0.8499999999999996,119.33333333333333,22.0]",121.5,Unhealthy
"[122.0,14.149999999999999,59.5,1.0,-2.75,122.0,0.0]",123.0,Unhealthy
"[122.0,15.899999999999999,51.550000000000004,-20.0,-9.8,122.0,8.0]",102.0,Unhealthy
"[122.0,17.3,80.4,-2.0,-0.4499999999999993,122.5,3.0]",120.0,Unhealthy
"[122.0,18.6,70.9,4.5,2.6500000000000004,122.16666666666667,20.0]",126.5,Unhealthy
"[122.0,19.5,70.45,4.0,8.7,122.0,3.0]",126.0,Unhealthy
"[122.0,22.450000000000003,75.3,4.0,9.750000000000004,122.0,2.0]",126.0,Unhealthy
"[122.0,23.1,43.8,-5.5,0.6000000000000014,122.66666666666667,6.0]",116.5,Unhealthy
"[122.0,33.3,83.7,4.5,6.149999999999999,123.33333333333333,0.0]",126.5,Unhealthy
"[122.0,34.4,60.6,-6.5,2.1499999999999986,122.0,18.0]",115.5,Unhealthy
"[122.5,17.6,72.30000000000001,-1.5,3.0000000000000018,122.5,22.0]",121.0,Unhealthy
"[122.5,23.2,66.4,-2.5,-10.7,122.5,3.0]",120.0,Unhealthy
"[123.0,11.4,69.3,-1.0,-2.7499999999999982,122.33333333333333,1.0]",122.0,Unhealthy
"[123.0,16.15,57.25,2.0,-7.550000000000001,123.0,12.0]",125.0,Unhealthy
"[123.0,16.2,88.6,9.5,-4.349999999999998,125.16666666666667,14.0]",132.5,Unhealthy
"[123.0,22.25,56.1,6.0,10.85,123.0,14.0]",129.0,Unhealthy
"[123.0,27.049999999999997,71.2,-4.0,-5.75,123.0,22.0]",119.0,Unhealthy
"[123.0,27.3,41.75,-5.0,-4.699999999999999,123.0,1.0]",118.0,Unhealthy
"[123.0,31.0,69.1,9.5,6.550000000000001,135.0,21.0]",132.5,Unhealthy
"[123.5,9.55,66.0,-2.5,-3.8499999999999996,123.5,0.0]",121.0,Unhealthy
"[123.5,11.4,54.9,-1.5,-3.6999999999999993,123.5,0.0]",122.0,Unhealthy
"[123.5,16.1,56.25,11.5,8.700000000000001,123.5,16.0]",135.0,Unhealthy
"[123.5,29.5,45.95,4.5,1.8000000000000007,123.5,12.0]",128.0,Unhealthy
"[124.0,13.8,86.1,-1.5,-1.549999999999999,129.33333333333334,7.0]",122.5,Unhealthy
"[124.0,19.4,66.3,-6.5,-0.5,122.0,9.0]",117.5,Unhealthy
"[124.0,20.75,75.7,0.0,13.95,124.0,3.0]",124.0,Unhealthy
"[124.0,23.549999999999997,63.8,5.0,-4.650000000000002,124.0,18.0]",129.0,Unhealthy
"[124.0,27.5,35.0,-3.0,-1.0,124.33333333333333,20.0]",121.0,Unhealthy
"[124.0,27.6,63.9,18.5,-3.5500000000000007,126.16666666666667,14.0]",142.5,Unhealthy
"[124.0,34.7,81.5,6.5,13.950000000000003,126.16666666666667,4.0]",130.5,Unhealthy
"[124.5,14.7,40.75,7.5,2.1999999999999993,124.5,5.0]",132.0,Unhealthy
"[124.5,15.65,63.55,9.5,7.65,124.5,12.0]",134.0,Unhealthy
"[124.5,16.75,49.85,4.5,5.550000000000001,124.5,13.0]",129.0,Unhealthy
"[124.5,21.799999999999997,59.7,-7.5,2.599999999999998,124.5,23.0]",117.0,Unhealthy
"[125.0,7.5,85.3,2.0,-6.050000000000001,122.33333333333333,11.0]",127.0,Unhealthy
"[125.0,8.3,30.8,-7.5,-6.35,124.33333333333333,2.0]",117.5,Unhealthy
"[125.0,13.7,50.0,14.0,-9.05,130.5,20.0]",139.0,Unhealthy
"[125.0,15.1,79.8,-1.5,-0.049999999999998934,125.5,0.0]",123.5,Unhealthy
"[125.0,27.200000000000003,56.849999999999994,-7.0,-2.3999999999999986,125.0,10.0]",118.0,Unhealthy
"[125.0,30.85,44.6,7.0,-1.1499999999999986,125.0,20.0]",132.0,Unhealthy
"[125.0,33.9,59.9,-2.5,7.949999999999999,127.16666666666667,3.0]",122.5,Unhealthy
"[125.5,17.75,71.80000000000001,-3.5,-0.4499999999999993,125.5,2.0]",122.0,Unhealthy
"[126.0,13.4,65.1,-2.5,-10.35,127.33333333333333,0.0]",123.5,Unhealthy
"[126.0,18.2,69.5,3.0,-7.449999999999999,120.83333333333333,16.0]",129.0,Unhealthy
"[126.0,18.65,52.45,20.0,-13.350000000000001,126.0,15.0]",146.0,Unhealthy
"[126.0,22.0,32.4,25.5,6.800000000000001,130.83333333333334,15.0]",151.5,Unhealthy
"[126.0,28.2,56.2,1.0,8.7,125.0,4.0]",127.0,Unhealthy
"[126.0,32.7,37.4,3.0,6.050000000000001,127.16666666666667,18.0]",129.0,Unhealthy
"[126.5,8.75,56.85,5.5,3.05,126.5,1.0]",132.0,Unhealthy
"[126.5,14.95,74.15,17.5,4.75,126.5,15.0]",144.0,Unhealthy
"[126.5,22.1,71.95,4.5,3.5,126.5,20.0]",131.0,Unhealthy
"[126.5,26.650000000000002,43.95,-0.5,6.050000000000001,126.5,17.0]",126.0,Unhealthy
"[126.5,28.7,73.2,4.5,-4.599999999999998,126.5,0.0]",131.0,Unhealthy
"[127.0,7.05,59.5,2.0,-0.4500000000000002,127.0,11.0]",129.0,Unhealthy
"[127.0,8.4,49.5,1.0,-12.499999999999998,131.5,3.0]",128.0,Unhealthy
"[127.0,9.3,89.8,1.0,0.10000000000000142,129.33333333333334,1.0]",128.0,Unhealthy
"[127.0,19.6,42.2,7.5,6.5,129.83333333333334,13.0]",134.5,Unhealthy
"[127.0,28.1,59.5,1.0,-0.09999999999999787,127.0,4.0]",128.0,Unhealthy
"[127.5,22.75,48.85,-2.5,-9.05,127.5,19.0]",125.0,Unhealthy
"[127.5,25.05,69.35,-3.5,0.9499999999999993,127.5,1.0]",124.0,Unhealthy
"[127.5,26.950000000000003,59.9,8.5,5.650000000000002,127.5,23.0]",136.0,Unhealthy
"[128.0,7.8,72.1,10.0,-8.649999999999999,125.33333333333333,15.0]",138.0,Unhealthy
"[128.0,11.75,56.1,-8.0,-4.949999999999999,128.0,22.0]",120.0,Unhealthy
"[128.0,13.100000000000001,37.95,-1.0,6.500000000000002,128.0,12.0]",127.0,Unhealthy
"[128.0,13.75,76.5,1.0,4.449999999999999,128.0,1.0]",129.0,Unhealthy
"[128.0,15.149999999999999,58.8,-3.0,-0.05000000000000071,128.0,23.0]",125.0,Unhealthy
"[128.0,17.8,60.75,-8.0,-10.599999999999998,128.0,2.0]",120.0,Unhealthy
"[128.0,20.25,54.85,1.0,11.85,128.0,3.0]",129.0,Unhealthy
"[128.0,26.1,64.5,9.5,3.950000000000003,132.83333333333334,2.0]",137.5,Unhealthy
"[128.0,28.0,62.8,-12.5,-0.10000000000000142,123.5,5.0]",115.5,Unhealthy
"[128.0,28.5,53.65,-4.0,-1.0,128.0,19.0]",124.0,Unhealthy
"[128.0,31.3,38.7,6.0,1.8000000000000007,128.5,13.0]",134.0,Unhealthy
"[128.0,31.5,45.5,-18.0,3.4499999999999993,124.16666666666667,8.0]",110.0,Unhealthy
"[128.0,32.0,46.0,-5.0,13.25,127.0,1.0]",123.0,Unhealthy
"[128.5,16.4,60.55,-17.5,8.899999999999999,128.5,5.0]",111.0,Unhealthy
"[128.5,32.25,59.1,-6.5,2.1499999999999986,128.5,17.0]",122.0,Unhealthy
"[129.0,6.6,33.7,-1.0,-0.4500000000000002,128.0,12.0]",128.0,Unhealthy
"[129.0,18.2,63.2,-3.5,4.449999999999999,127.5,2.0]",125.5,Unhealthy
"[129.0,18.9,46.5,1.5,-4.649999999999999,127.83333333333333,19.0]",130.5,Unhealthy
"[129.0,22.3,57.2,27.5,5.550000000000001,136.66666666666666,14.0]",156.5,Unhealthy
"[129.0,23.450000000000003,60.55,3.0,-9.25,129.0,18.0]",132.0,Unhealthy
"[129.0,28.4,75.7,17.0,10.049999999999997,131.66666666666666,17.0]",146.0,Unhealthy
"[129.0,30.9,68.2,3.0,7.949999999999999,130.83333333333334,22.0]",132.0,Unhealthy
"[129.0,32.1,60.2,4.0,11.850000000000001,130.0,4.0]",133.0,Unhealthy
"[129.0,33.1,55.7,33.0,10.850000000000001,138.0,15.0]",162.0,Unhealthy
"[129.5,22.5,40.25,-8.5,3.6000000000000014,129.5,22.0]",121.0,Unhealthy
"[129.5,22.5,55.85,-7.5,0.6000000000000014,129.5,5.0]",122.0,Unhealthy
"[129.5,25.1,69.25,-13.5,9.900000000000002,129.5,8.0]",116.0,Unhealthy
"[130.0,8.3,72.9,4.5,-1.75,131.83333333333334,3.0]",134.5,Unhealthy
"[130.0,18.75,62.65,-2.0,13.25,130.0,0.0]",128.0,Unhealthy
"[130.0,23.45,59.65,6.0,-2.5500000000000007,130.0,2.0]",136.0,Unhealthy
